epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,5.406994785614014,4.1407713699340825,0.4692,0.36716666666666664
1,5.406994785614014,.458658935699463,13.25486414082845,0.60684,0.15666666666666668
2,3.198077842102051,5.605778137207031,0.64252,0.291
3,3.1217258452606202,3.475036314646403,0.65992,0.578
4,2.975950933532715,3.8102275664011636,0.6748,0.548
5,2.855418039550781,3.1321341094970703,0.69904,0.6238333333333334
6,2.8672501515197752,3.0626285800933837,0.70822,0.6408333333333334
7,2.788889426422119,3.265443503697713,0.71792,0.6161666666666666
8,2.8512164136505125,3.072981777826945,0.72554,0.6731666666666667
9,2.8337305250549316,3.574593761444092,0.73014,0.5908333333333333
10,2.485605593185425,2.6199871686299643,0.74534,0.7085
11,2.4880086834716795,2.487688833872477,0.75122,0.7271666666666666
12,2.38700786529541,3.616884199778239,0.75736,0.5395
13,2.3756894829559325,2.4015348866780597,0.76082,0.7343333333333333
14,2.338057853012085,2.839427188237508,0.76396,0.6396666666666667
15,2.302969472503662,2.540517229715983,0.77372,0.6755
16,2.3013822074127197,3.1748544108072916,0.77592,0.6088333333333333
17,2.1595640885925294,4.05528693262736,0.78278,0.4255
18,2.111891859359741,2.8996224625905356,0.7882,0.6158333333333333
19,2.07756006980896,2.3823351561228434,0.79224,0.7046666666666667
20,1.916317332687378,2.3044594612121583,0.80318,0.6995
21,1.9210276996994018,2.833926993052165,0.8053,0.6173333333333333
22,1.8954522303009034,2.1232932383219403,0.80824,0.745
23,1.8752400485229492,2.298622033437093,0.81414,0.7175
24,1.8839119445419312,2.43164710299174,0.81518,0.6993333333333334
25,1.8672446955871582,2.2911360219319663,0.81628,0.6985
26,1.744042084388733,2.1106393807729087,0.82526,0.7233333333333334
27,1.7396879402923584,2.1070947103500366,0.8306,0.7391666666666666
28,1.7299674869155883,2.0606739756266275,0.83112,0.7553333333333333
29,1.716688826637268,2.24459011332194,0.83806,0.72
30,1.703059557685852,2.1473477954864504,0.83852,0.7266666666666667
31,1.6851337361526488,3.003713581085205,0.84004,0.6041666666666666
32,1.5551851685333251,2.0300026791890464,0.84834,0.7378333333333333
33,1.5390851454162597,2.9440651563008626,0.85032,0.6053333333333333
34,1.5314205891418458,1.9961045735677083,0.85324,0.7406666666666667
35,1.5288705652999879,2.1319640401204425,0.85554,0.7163333333333334
36,1.5450568292236329,2.07049197101593,0.85358,0.7331666666666666
37,1.519509496383667,2.039563773790995,0.85764,0.7321666666666666
38,1.3953155376815796,1.95590842183431,0.86422,0.7371666666666666
39,1.392359086151123,2.0429930121103923,0.8667,0.7205
40,1.3767119302368165,2.477244098027547,0.86846,0.6538333333333334
41,1.3860583377456666,1.9849686705271403,0.86916,0.7446666666666667
42,1.268243588142395,1.913346050262451,0.8772,0.7333333333333333
43,1.2631640213775635,1.931670862197876,0.8777,0.739
44,1.2693038481903076,1.967316540400187,0.87778,0.7366666666666667
45,1.2651056567764283,2.222865744272868,0.88094,0.6705
46,1.1635061185455322,1.8080203062693279,0.8858,0.7491666666666666
47,1.1527388188552856,1.9106146456400552,0.88894,0.7428333333333333
48,1.1423533223342897,1.972833677927653,0.89264,0.7328333333333333
49,1.1309120012664795,2.142115814844767,0.89362,0.7036666666666667
